N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 07월 17일 (Sat)
1#,[뉴스 정치]#,"1. 북한 ""도쿄올림픽 개막식 '南 당국자 참석'은 日 장단에 춤추는 것""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=421&aid=0005484372
2#,[뉴스 정치]#,2. 기모란 경질은 '방역 실패' 자인...야당 공세 맞서는 靑#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001615554
3#,[뉴스 정치]#,3. 대선 실패 당사자도 만난 윤석열...반면교사? 패착?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001615541
4#,[뉴스 정치]#,"4. 윤석열 5·18 민주묘지 찾아 울먹...이재명 ""가해자 집단 반성하길""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001615540
5#,[뉴스 정치]#,5. 개헌 내건 與 대권 주자...헌법 정신으로 맞붙은 여야#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001615539
6#,[뉴스 경제]#,1. 손님 뚝 끊기고 인건비 부담까지...저녁 영업 포기 속출#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=052&aid=0001615555
7#,[뉴스 경제]#,2. '민노총 집회 그날' 지나고 보니 '가장 위험했던 시기'…확진자 나오고 뒷북 전수조사#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=008&aid=0004617798
8#,[뉴스 경제]#,"3. 민주노총 8000명 집회서 결국 확진자 나왔다…김부겸 ""전원 검사"" 호소#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=009&aid=0004825459
9#,[뉴스 경제]#,4. 쿠팡 덕평 물류센터 화재 한 달···그 사이 쑥쑥 큰 경쟁자들[백주원의 리셀]#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=011&aid=0003938003
10#,[뉴스 경제]#,5. [포커스] 비트코인 대폭락장 시작 되나…영끌 빚투族 '탄식'#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=448&aid=0000334221
11#,[뉴스 IT/과학]#,"1. 中, 가상자산 온라인 커뮤니티도 폐쇄…비트코인 더 떨어지나#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001862857
12#,[뉴스 IT/과학]#,2. 무늬만 5G폰 속도 진짜 빨라지나…“내 스마트폰도?”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001862856
13#,[뉴스 IT/과학]#,3. 호재·악재 겹친 코인시장…혼조세 지속 [코인시세]#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=015&aid=0004579554
14#,[뉴스 IT/과학]#,4. [영상] “마지막 헐값”…2개 화면 ‘LG윙’ 110만→20만원#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001862852
15#,[뉴스 IT/과학]#,5. [지구를 보다] 5초당 축구장 하나씩 사라져…美 최악의 화재 현장#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=081&aid=0003202354
16#,[뉴스 CNBC]#,1. Psychotherapist says parents of mentally strong kids always do these 3 things when giving praise#,https://www.cnbc.com/2021/07/15/a-psychotherapist-shares-how-parents-of-confident-and-mentally-strong-kids-praise-their-children.html
17#,[뉴스 CNBC]#,2. Photos show disastrous flooding in western Europe#,https://www.cnbc.com/2021/07/17/photos-show-disastrous-flooding-in-western-europe.html
18#,[뉴스 CNBC]#,3. The 2 things Warren Buffett calls 'the best protection against inflation'#,https://www.cnbc.com/2021/07/16/warren-buffett-best-protection-against-inflation.html
19#,[뉴스 CNBC]#,"4. Amazon asked Apple to remove an app that spots fake reviews, and Apple agreed#",https://www.cnbc.com/2021/07/16/apple-removes-fakespot-from-app-store-after-amazon-complains.html
20#,[뉴스 CNBC]#,5. These are America's 10 cheapest states to live in for 2021#,https://www.cnbc.com/2021/07/15/these-are-americas-cheapest-states-to-live-in.html
20#,[경제 환율]#,"1,141.00@1.00(-0.09%) 하락"
21#,[경제 나스닥]#,"14,427.24@115.89(-0.80%) 하락"
22#,[경제 SP]#,"4,327.16@32.87(-0.75%) 하락"
